CA	SASD	2007	CORE	MEDINCSTQ	451	453	N2PF.
CA	SASD	2007	CORE	BMONTH	516	518	N2PF.
CA	SASD	2007	CORE	AGE	0	3	N3PF.
CA	SASD	2007	CORE	ECODE5	386	391	$CHAR5.
CA	SASD	2007	CORE	DX24	256	261	$CHAR5.
CA	SASD	2007	CORE	DX25	261	266	$CHAR5.
CA	SASD	2007	CORE	DX22	246	251	$CHAR5.
CA	SASD	2007	CORE	DX23	251	256	$CHAR5.
CA	SASD	2007	CORE	DX20	236	241	$CHAR5.
CA	SASD	2007	CORE	DX21	241	246	$CHAR5.
CA	SASD	2007	CORE	CPT9	53	58	$CHAR5.
CA	SASD	2007	CORE	CPT8	48	53	$CHAR5.
CA	SASD	2007	CORE	E_CCS3	399	403	N4PF.
CA	SASD	2007	CORE	E_CCS2	395	399	N4PF.
CA	SASD	2007	CORE	E_CCS5	407	411	N4PF.
CA	SASD	2007	CORE	E_CCS4	403	407	N4PF.
CA	SASD	2007	CORE	LOS_X	445	451	N6PF.
CA	SASD	2007	CORE	CPT1	13	18	$CHAR5.
CA	SASD	2007	CORE	CPT3	23	28	$CHAR5.
CA	SASD	2007	CORE	AMONTH	9	11	N2PF.
CA	SASD	2007	CORE	CPT5	33	38	$CHAR5.
CA	SASD	2007	CORE	CPT4	28	33	$CHAR5.
CA	SASD	2007	CORE	CPT7	43	48	$CHAR5.
CA	SASD	2007	CORE	CPT6	38	43	$CHAR5.
CA	SASD	2007	CORE	CPT12	68	73	$CHAR5.
CA	SASD	2007	CORE	CPT15	83	88	$CHAR5.
CA	SASD	2007	CORE	AGEDAY	3	6	N3PF.
CA	SASD	2007	CORE	BYEAR	518	None	N4PF.
CA	SASD	2007	CORE	AGEMONTH	6	9	N3PF.
CA	SASD	2007	CORE	HISPANIC_X	419	421	$CHAR2.
CA	SASD	2007	CORE	YEAR	506	510	N4PF.
CA	SASD	2007	CORE	DISP_X	124	126	$CHAR2.
CA	SASD	2007	CORE	CPT20	108	113	$CHAR5.
CA	SASD	2007	CORE	CPT21	113	118	$CHAR5.
CA	SASD	2007	CORE	PL_RUCA4_2005	474	476	N2PF.
CA	SASD	2007	CORE	PL_RUCC2003	476	478	N2PF.
CA	SASD	2007	CORE	AWEEKEND	11	13	N2PF.
CA	SASD	2007	CORE	PL_NCHS2006	472	474	N2PF.
CA	SASD	2007	CORE	PL_UIC2003	478	480	N2PF.
CA	SASD	2007	CORE	PAY1	462	464	N2PF.
CA	SASD	2007	CORE	HCUP_ED	415	417	N2PF.
